"INCIDENT_ID","INCIDENT_DT","FACILITY"
"2970","02/01/2016 08:55:00 PM",
"2971","02/01/2016 11:35:00 AM",
"2972","02/01/2016 05:30:00 PM",
"2973","02/01/2016 08:25:00 PM",
"2974","02/01/2016 05:10:00 AM",
"2975","02/01/2016 11:00:00 AM",
"2976","02/01/2016 01:15:00 AM",
"2977","02/01/2016 06:00:00 AM",
"2978","02/01/2016 05:55:00 PM",
"2979","02/01/2016 02:06:00 PM",
"2980","02/01/2016 06:20:00 AM",
"2984","02/01/2016 10:40:00 AM",
"2986","02/01/2016 02:55:00 PM",
"2988","02/01/2016 02:30:00 PM",
"2989","02/02/2016 05:40:00 AM",
"2990","02/02/2016 09:45:00 AM",
"2991","02/01/2016 11:35:00 AM",
"2992","02/02/2016 08:45:00 AM",
"2993","02/02/2016 02:55:00 PM",
"2994","02/02/2016 08:43:00 AM",
"2995","02/02/2016 03:30:00 PM",
"2996","02/02/2016 06:55:00 PM",
"2997","02/02/2016 04:55:00 PM",
"2998","02/02/2016 08:30:00 PM",
"2999","02/02/2016 10:50:00 AM",
"3000","02/02/2016 08:45:00 AM",
"3001","02/02/2016 11:54:00 AM",
"3003","02/03/2016 07:10:00 PM",
"3005","02/03/2016 03:45:00 PM",
"3006","02/03/2016 01:30:00 PM",
"3007","02/03/2016 01:31:00 PM",
"3008","02/03/2016 11:15:00 AM",
"3009","02/03/2016 08:00:00 AM",
"3010","02/02/2016 04:40:00 PM",
"3011","02/03/2016 05:23:00 PM",
"3012","02/03/2016 12:10:00 PM",
"3013","02/03/2016 12:50:00 PM",
"3014","02/02/2016 05:55:00 AM",
"3015","02/03/2016 06:03:00 PM",
"3016","02/04/2016 09:15:00 AM",
"3017","02/04/2016 12:25:00 PM",
"3018","02/04/2016 12:15:00 AM",
"3019","02/04/2016 08:20:00 PM",
"3020","02/04/2016 05:20:00 AM",
"3021","02/04/2016 10:00:00 AM",
"3022","02/04/2016 04:50:00 PM",
"3023","02/04/2016 03:00:00 PM",
"3024","02/04/2016 09:55:00 AM",
"3025","02/03/2016 03:20:00 PM",
"3026","02/04/2016 05:15:00 AM",
"3027","02/05/2016 02:55:00 PM",
"3028","02/05/2016 01:00:00 PM",
"3029","02/05/2016 02:30:00 PM",
"3030","02/03/2016 01:15:00 PM",
"3031","02/05/2016 06:20:00 AM",
"3032","02/07/2016 05:30:00 AM",
"3033","02/05/2016 10:20:00 AM",
"3034","02/06/2016 05:09:00 PM",
"3035","02/06/2016 08:18:00 PM",
"3036","02/06/2016 10:40:00 PM",
"3037","02/07/2016 12:01:00 AM",
"3038","02/07/2016 06:40:00 PM",
"3039","02/05/2016 06:30:00 AM",
"3040","02/06/2016 12:33:00 PM",
"3041","02/05/2016 11:45:00 AM",
"3042","02/05/2016 12:20:00 PM",
"3043","02/06/2016 05:40:00 AM",
"3044","02/05/2016 08:05:00 AM",
"3045","02/05/2016 07:20:00 PM",
"3046","02/05/2016 10:10:00 AM",
"3047","02/05/2016 01:50:00 PM",
"3048","02/05/2016 07:45:00 PM",
"3049","02/07/2016 10:37:00 AM",
"3050","02/05/2016 08:59:00 PM",
"3051","02/05/2016 03:16:00 PM",
"3052","02/06/2016 05:00:00 AM",
"3053","02/07/2016 08:45:00 PM",
"3054","02/06/2016 10:53:00 AM",
"3055","02/05/2016 05:50:00 PM",
"3056","02/06/2016 08:30:00 PM",
"3057","02/06/2016 09:06:00 PM",
"3058","02/07/2016 11:25:00 AM",
"3059","02/07/2016 01:01:00 PM",
"3060","02/02/2016 08:40:00 PM",
"3061","02/03/2016 07:30:00 PM",
"3062","02/05/2016 10:00:00 AM",
"3063","02/07/2016 04:25:00 PM",
"3064","02/08/2016 09:45:00 PM",
"3065","02/08/2016 10:40:00 PM",
"3066","02/08/2016 08:30:00 PM",
"3067","02/08/2016 07:50:00 PM",
"3068","02/08/2016 05:00:00 PM",
"3069","02/08/2016 05:20:00 AM",
"3070","02/08/2016 11:50:00 AM",
"3071","02/05/2016 09:25:00 AM",
"3072","02/08/2016 09:10:00 PM",
"3073","02/08/2016 11:20:00 AM",
"3075","02/08/2016 12:57:00 PM",
"3076","02/08/2016 06:20:00 PM",
"3077","02/08/2016 12:11:00 AM",
"3081","02/08/2016 12:50:00 AM",
"3082","02/08/2016 08:10:00 PM",
"3087","02/09/2016 07:05:00 AM",
"3088","02/09/2016 09:50:00 AM",
"3089","02/09/2016 10:10:00 AM",
"3090","02/09/2016 01:49:00 PM",
"3092","02/09/2016 06:33:00 AM",
"3093","02/09/2016 10:30:00 PM",
"3094","02/09/2016 04:55:00 PM",
"3095","02/09/2016 03:55:00 PM",
"3096","02/09/2016 04:57:00 PM",
"3097","02/09/2016 03:43:00 PM",
"3098","02/09/2016 12:30:00 PM",
"3099","02/09/2016 07:00:00 PM",
"3100","02/09/2016 11:45:00 PM",
"3102","02/09/2016 03:00:00 PM",
"3103","02/09/2016 11:25:00 PM",
"3120","02/09/2016 06:20:00 PM",
"3125","02/10/2016 07:45:00 PM",
"3126","02/10/2016 02:30:00 AM",
"3131","02/10/2016 06:20:00 AM",
"3133","02/10/2016 08:45:00 AM",
"3135","02/10/2016 07:30:00 PM",
"3137","02/10/2016 09:30:00 PM",
"3138","02/10/2016 06:00:00 AM",
"3140","02/10/2016 09:20:00 AM",
"3141","02/10/2016 05:45:00 PM",
"3144","02/10/2016 08:03:00 PM",
"3147","02/10/2016 11:10:00 PM",
"3148","02/10/2016 04:25:00 PM",
"3149","02/10/2016 12:40:00 PM",
"3150","02/11/2016 04:45:00 AM",
"3154","02/11/2016 05:15:00 AM",
"3155","02/11/2016 06:20:00 PM",
"3156","02/11/2016 12:05:00 PM",
"3157","02/11/2016 05:15:00 AM",
"3158","02/11/2016 08:10:00 AM",
"3159","02/11/2016 11:10:00 AM",
"3160","02/11/2016 07:35:00 AM",
"3161","02/11/2016 07:58:00 PM",
"3162","02/11/2016 08:20:00 PM",
"3163","02/11/2016 06:45:00 PM",
"3164","02/10/2016 10:45:00 AM",
"3165","02/11/2016 05:20:00 PM",
"3166","02/11/2016 05:50:00 PM",
"3167","02/11/2016 05:51:00 PM",
"3168","02/11/2016 06:50:00 PM",
"3176","02/13/2016 06:51:00 PM",
"3177","02/13/2016 11:15:00 PM",
"3178","02/14/2016 01:16:00 PM",
"3179","02/14/2016 04:10:00 PM",
"3180","02/12/2016 04:50:00 PM",
"3181","02/14/2016 12:20:00 PM",
"3182","02/11/2016 01:50:00 AM",
"3183","02/15/2016 11:47:00 AM",
"3184","02/11/2016 04:05:00 AM",
"3185","02/11/2016 09:00:00 AM",
"3186","02/11/2016 04:40:00 PM",
"3187","02/12/2016 12:40:00 AM",
"3189","02/12/2016 09:00:00 PM",
"3190","02/12/2016 03:00:00 AM",
"3191","02/12/2016 01:45:00 PM",
"3192","02/14/2016 12:00:00 AM",
"3193","02/13/2016 12:55:00 AM",
"3194","02/12/2016 10:55:00 AM",
"3195","02/13/2016 04:10:00 PM",
"3196","02/13/2016 06:20:00 PM",
"3197","02/12/2016 08:15:00 AM",
"3199","02/12/2016 12:24:00 PM",
"3200","02/15/2016 01:15:00 PM",
"3201","02/14/2016 08:00:00 PM",
"3202","02/15/2016 06:15:00 PM",
"3203","02/12/2016 09:32:00 AM",
"3204","02/12/2016 08:50:00 PM",
"3205","02/14/2016 08:45:00 PM",
"3206","02/12/2016 10:43:00 AM",
"3207","02/15/2016 01:40:00 AM",
"3208","02/12/2016 08:50:00 PM",
"3209","02/15/2016 09:49:00 AM",
"3210","02/12/2016 08:55:00 PM",
"3211","02/15/2016 02:55:00 PM",
"3212","02/12/2016 07:10:00 PM",
"3213","02/13/2016 10:05:00 PM",
"3214","02/15/2016 07:15:00 PM",
"3215","02/14/2016 07:55:00 PM",
"3216","02/14/2016 07:15:00 PM",
"3217","02/13/2016 11:25:00 AM",
"3218","02/15/2016 10:40:00 AM",
"3219","02/15/2016 05:20:00 PM",
"3220","02/13/2016 05:35:00 AM",
"3221","02/14/2016 06:35:00 PM",
"3223","02/16/2016 04:50:00 AM",
"3224","02/14/2016 06:00:00 AM",
"3225","02/15/2016 02:30:00 AM",
"3226","02/14/2016 04:40:00 PM",
"3227","02/16/2016 06:45:00 AM",
"3228","02/16/2016 05:35:00 PM",
"3229","02/16/2016 07:40:00 AM",
"3231","02/16/2016 05:30:00 PM",
"3232","02/14/2016 01:10:00 PM",
"3233","02/16/2016 07:20:00 AM",
"3234","02/16/2016 08:12:00 PM",
"3236","02/16/2016 07:15:00 PM",
"3238","02/16/2016 05:15:00 PM",
"3243","02/16/2016 09:30:00 AM",
"3244","02/16/2016 12:20:00 PM",
"3245","02/16/2016 05:40:00 PM",
"3246","02/16/2016 09:35:00 PM",
"3247","02/14/2016 10:25:00 AM",
"3248","02/12/2016 09:10:00 PM",
"3250","02/14/2016 12:50:00 PM",
"3252","02/13/2016 09:30:00 AM",
"3262","02/13/2016 08:00:00 PM",
"3265","02/15/2016 07:30:00 PM",
"3266","02/15/2016 07:50:00 PM",
"3267","02/16/2016 06:00:00 AM",
"3268","02/16/2016 02:16:00 PM",
"3269","02/17/2016 08:00:00 PM",
"3270","02/16/2016 01:25:00 PM",
"3271","02/17/2016 08:35:00 PM",
"3272","02/17/2016 10:30:00 PM",
