"INCIDENT_ID","REPORTED_DT","INCIDENT_TYPE","FACILITY"
"76075","01/31/2016 09:17:00 PM","Slashing",
"76130","02/02/2016 09:43:00 AM","Slashing",
"76177","02/03/2016 03:56:00 PM","Slashing",
"76348","02/10/2016 02:49:00 AM","Stabbing",
"76488","02/14/2016 07:34:00 PM","Slashing",
"76518","02/15/2016 07:39:00 PM","Slashing",
"76527","02/16/2016 11:15:00 AM","Slashing",
"76665","02/20/2016 07:48:00 PM","Slashing",
"76714","02/22/2016 09:12:00 AM","Slashing",
"76766","02/24/2016 11:20:00 AM","Slashing",
"77862","03/31/2016 06:15:00 PM","Slashing",
"77925","04/02/2016 02:15:00 PM","Slashing",
"77962","04/04/2016 12:19:00 AM","Slashing",
"77971","04/04/2016 11:00:00 AM","Slashing",
"78055","04/06/2016 07:00:00 PM","Slashing",
"78111","04/08/2016 10:30:00 PM","Slashing",
"78151","04/10/2016 12:58:00 AM","Slashing",
"78348","04/16/2016 01:32:00 PM","Slashing",
"78554","04/23/2016 12:54:00 PM","Stabbing",
"78555","04/23/2016 12:54:00 PM","Slashing",
"78594","04/24/2016 08:30:00 PM","Slashing",
"78595","04/24/2016 09:31:00 PM","Slashing",
"78660","04/26/2016 09:57:00 PM","Slashing",
"79009","05/07/2016 07:28:00 PM","Slashing",
"79040","05/08/2016 11:18:00 PM","Stabbing",
"79084","05/10/2016 01:09:00 PM","Slashing",
"79263","05/15/2016 07:32:00 PM","Slashing",
"79464","05/22/2016 11:35:00 PM","Slashing",
"79556","05/25/2016 08:29:00 AM","Slashing",
"79719","05/29/2016 09:15:00 PM","Slashing",
"79720","05/29/2016 09:17:00 PM","Slashing",
"80054","06/07/2016 10:53:00 PM","Slashing",
"80292","06/14/2016 08:13:00 PM","Slashing",
"80472","06/20/2016 07:57:00 AM","Slashing",
"80588","06/22/2016 10:04:00 PM","Slashing",
"80643","06/24/2016 06:00:00 PM","Slashing",
"80698","06/26/2016 10:29:00 AM","Stabbing",
"80732","06/27/2016 09:05:00 AM","Slashing",
"80733","06/27/2016 11:58:00 AM","Slashing",
"80754","06/27/2016 06:00:00 PM","Slashing",
"80759","06/27/2016 09:25:00 PM","Slashing",
"80942","07/04/2016 09:50:00 PM","Slashing",
"80967","07/05/2016 09:45:00 PM","Slashing",
"81240","07/14/2016 09:15:00 PM","Slashing",
"81321","07/18/2016 12:04:00 AM","Slashing",
"81406","07/20/2016 12:11:00 PM","Slashing",
"81503","07/22/2016 09:28:00 PM","Slashing",
"81519","07/23/2016 10:57:00 AM","Slashing",
"81520","07/23/2016 10:57:00 AM","Slashing",
"81523","07/23/2016 02:30:00 PM","Slashing",
"81659","07/27/2016 10:49:00 AM","Slashing",
"81661","07/27/2016 10:49:00 AM","Slashing",
"81748","07/29/2016 11:25:00 PM","Slashing",
"81505","07/22/2016 09:28:00 PM","Slashing",
"81729","07/29/2016 11:48:00 AM","Slashing",
"81765","07/30/2016 04:23:00 PM","Slashing",
"81840","08/01/2016 09:02:00 PM","Slashing",
"82051","08/07/2016 09:33:00 PM","Slashing",
"82085","08/08/2016 09:58:00 PM","Stabbing",
"82291","08/14/2016 08:32:00 PM","Slashing",
"82324","08/15/2016 08:50:00 PM","Slashing",
"82477","08/19/2016 01:33:00 PM","Slashing",
"82502","08/19/2016 10:20:00 PM","Slashing",
"82519","08/20/2016 04:02:00 PM","Slashing",
"82539","08/21/2016 02:19:00 PM","Slashing",
"82559","08/22/2016 06:21:00 AM","Slashing",
"82582","08/22/2016 09:18:00 PM","Slashing",
"82753","08/27/2016 02:29:00 PM","Slashing",
"82758","08/27/2016 03:15:00 PM","Slashing",
"82768","08/27/2016 10:12:00 PM","Slashing",
"82834","08/30/2016 10:10:00 PM","Stabbing",
"82880","09/01/2016 01:51:00 PM","Slashing",
"82889","09/01/2016 01:51:00 PM","Slashing",
"82959","09/04/2016 02:13:00 PM","Slashing",
"82966","09/04/2016 07:54:00 PM","Slashing",
"82993","09/05/2016 02:48:00 PM","Slashing",
"83045","09/06/2016 09:43:00 PM","Slashing",
"83088","09/08/2016 12:51:00 PM","Slashing",
"83112","09/09/2016 10:05:00 AM","Slashing",
"83143","09/09/2016 08:00:00 PM","Slashing",
"83178","09/10/2016 11:24:00 PM","Slashing",
"83242","09/13/2016 12:43:00 AM","Stabbing",
"150373","04/30/2021 09:16:00 AM","Stabbing","RNDC"
"83331","09/15/2016 11:37:00 AM","Slashing",
"83340","09/15/2016 06:00:00 PM","Slashing",
"83376","09/16/2016 06:29:00 PM","Slashing",
"150379","04/30/2021 12:11:00 PM","Slashing","AMKC"
"83465","09/20/2016 01:00:00 AM","Slashing",
"83529","09/21/2016 11:35:00 PM","Slashing",
"83632","09/25/2016 01:16:00 PM","Slashing",
"83643","09/25/2016 09:21:00 PM","Slashing",
"83667","09/26/2016 12:33:00 PM","Slashing",
"83762","09/29/2016 02:34:00 PM","Slashing",
"83862","10/03/2016 06:27:00 AM","Slashing",
"83917","10/04/2016 07:48:00 PM","Slashing",
"84093","10/10/2016 07:28:00 AM","Stabbing",
"84106","10/10/2016 01:15:00 PM","Stabbing",
"84156","10/11/2016 07:15:00 PM","Slashing",
"84158","10/11/2016 07:15:00 PM","Slashing",
"84163","10/11/2016 10:05:00 PM","Slashing",
"84530","10/20/2016 08:21:00 PM","Slashing",
"84532","10/20/2016 08:20:00 PM","Slashing",
"84576","10/22/2016 12:00:00 AM","Slashing",
"84670","10/24/2016 03:10:00 PM","Slashing",
"84793","10/27/2016 01:23:00 PM","Slashing",
"84868","10/28/2016 09:35:00 PM","Slashing",
"84869","10/28/2016 09:56:00 PM","Slashing",
"84888","10/29/2016 11:39:00 AM","Slashing",
"85025","11/01/2016 01:16:00 PM","Slashing",
"85192","11/05/2016 08:19:00 PM","Slashing",
"85310","11/09/2016 10:52:00 AM","Slashing",
"85313","11/09/2016 12:22:00 PM","Slashing",
"85330","11/09/2016 06:48:00 PM","Slashing",
"85475","11/14/2016 01:47:00 PM","Slashing",
"85535","11/15/2016 08:54:00 PM","Slashing",
"85648","11/17/2016 10:23:00 PM","Stabbing",
"85761","11/20/2016 01:34:00 PM","Slashing",
"85878","11/23/2016 05:10:00 PM","Stabbing",
"85904","11/24/2016 03:33:00 PM","Slashing",
"85914","11/25/2016 01:59:00 AM","Slashing",
"85956","11/25/2016 08:19:00 PM","Stabbing",
"86116","11/30/2016 02:23:00 PM","Slashing",
"86154","12/01/2016 09:59:00 AM","Slashing",
"86222","12/02/2016 09:31:00 PM","Slashing",
"86284","12/05/2016 07:20:00 AM","Stabbing",
"86505","12/11/2016 09:25:00 PM","Slashing",
"86580","12/13/2016 11:40:00 AM","Slashing",
"86596","12/13/2016 09:10:00 PM","Slashing",
"86767","12/19/2016 01:30:00 AM","Slashing",
"86777","12/19/2016 09:30:00 AM","Slashing",
"86939","12/22/2016 09:46:00 PM","Slashing",
"86992","12/24/2016 11:43:00 AM","Slashing",
"87029","12/25/2016 09:54:00 PM","Slashing",
"87183","12/30/2016 04:00:00 PM","Slashing",
"87421","01/06/2017 07:03:00 PM","Slashing",
"87574","01/10/2017 09:34:00 PM","Stabbing",
"87638","01/12/2017 09:48:00 AM","Slashing",
"87753","01/15/2017 09:24:00 PM","Slashing",
"87820","01/18/2017 09:07:00 AM","Slashing",
"87995","01/23/2017 07:41:00 AM","Slashing",
"88039","01/23/2017 12:00:00 AM","Stabbing",
"88040","01/23/2017 08:03:00 PM","Slashing",
"88074","01/24/2017 06:36:00 PM","Stabbing",
"88210","01/28/2017 06:03:00 AM","Slashing",
"88377","01/31/2017 09:42:00 PM","Slashing",
"88414","02/01/2017 06:17:00 PM","Slashing",
"88521","02/04/2017 09:30:00 PM","Slashing",
"88580","02/06/2017 10:02:00 AM","Slashing",
"88641","02/07/2017 07:26:00 PM","Slashing",
"88671","02/08/2017 03:05:00 PM","Stabbing",
"88717","02/10/2017 10:49:00 AM","Slashing",
"88744","02/10/2017 07:45:00 PM","Slashing",
"88775","02/11/2017 09:29:00 PM","Slashing",
"88785","02/12/2017 12:35:00 AM","Slashing",
"88915","02/14/2017 11:00:00 PM","Slashing",
"88946","02/15/2017 05:52:00 PM","Slashing",
"89046","02/18/2017 08:13:00 PM","Slashing",
"89093","02/20/2017 06:24:00 PM","Slashing",
"89105","02/21/2017 04:52:00 AM","Stabbing",
"89318","02/27/2017 08:40:00 AM","Slashing",
"89380","02/28/2017 08:53:00 PM","Slashing",
"89584","03/07/2017 12:09:00 PM","Slashing",
"89689","03/09/2017 11:00:00 PM","Slashing",
"89747","03/11/2017 03:28:00 PM","Slashing",
"89786","03/12/2017 10:50:00 PM","Slashing",
"89888","03/15/2017 10:18:00 PM","Slashing",
"89931","03/16/2017 03:00:00 PM","Slashing",
"89982","03/18/2017 07:23:00 PM","Slashing",
"90016","03/19/2017 09:43:00 PM","Stabbing",
"90040","03/20/2017 02:56:00 PM","Slashing",
"90081","03/21/2017 03:23:00 PM","Slashing",
"90083","03/21/2017 03:13:00 PM","Slashing",
"90137","03/23/2017 08:56:00 AM","Slashing",
